id,status,duration,start_date,start_station,end_date
2732,Closed,545,31-07-2011 17:54,53,31-07-2011 18:03
2754,Closed,2752,31-07-2011 18:05,20,31-07-2011 18:51
2818,Closed,366,31-07-2011 18:54,14,31-07-2011 19:00
2869,Closed,386,31-07-2011 19:40,23,31-07-2011 19:47
2883,Closed,607,31-07-2011 19:57,14,31-07-2011 20:07
2911,Closed,569,31-07-2011 20:24,49,31-07-2011 20:33
2951,Closed,4332,31-07-2011 20:56,39,31-07-2011 22:08
2970,Closed,809,31-07-2011 21:18,44,31-07-2011 21:32
3001,Closed,1002,31-07-2011 22:07,36,31-07-2011 22:23
3030,Closed,1059,31-07-2011 22:56,42,31-07-2011 23:14
3086,Closed,377,01-08-2011 06:37,47,01-08-2011 06:43
3159,Closed,404,01-08-2011 09:03,45,01-08-2011 09:09
3167,Closed,262,01-08-2011 09:19,25,01-08-2011 09:23
3183,Closed,1611,01-08-2011 10:12,32,01-08-2011 10:39
3217,Closed,1389,01-08-2011 11:10,42,01-08-2011 11:33
3233,Closed,1316,01-08-2011 11:34,49,01-08-2011 11:55
3326,Closed,7012,01-08-2011 13:50,47,01-08-2011 15:47
3356,Closed,568,01-08-2011 14:20,10,01-08-2011 14:30
3364,Closed,1047,01-08-2011 14:40,38,01-08-2011 14:58
3371,Closed,936,01-08-2011 14:51,35,01-08-2011 15:06
3414,Closed,574,01-08-2011 15:42,49,01-08-2011 15:51
3426,Closed,1813,01-08-2011 16:02,46,01-08-2011 16:32
3557,Closed,12712,01-08-2011 17:39,31,01-08-2011 21:11
3562,Closed,1389,01-08-2011 17:42,14,01-08-2011 18:05
3608,Closed,967,01-08-2011 18:23,20,01-08-2011 18:40
3647,Closed,1015,01-08-2011 18:46,18,01-08-2011 19:03
3664,Closed,699,01-08-2011 18:55,23,01-08-2011 19:06
3674,Closed,1068,01-08-2011 19:10,22,01-08-2011 19:27
3687,Closed,1513,01-08-2011 19:17,44,01-08-2011 19:42
3691,Closed,489,01-08-2011 19:17,46,01-08-2011 19:25
3728,Closed,1534,01-08-2011 19:57,20,01-08-2011 20:23
3750,Closed,1781,01-08-2011 20:18,15,01-08-2011 20:48
3751,Closed,1776,01-08-2011 20:19,15,01-08-2011 20:48
3784,Closed,603,01-08-2011 21:04,11,01-08-2011 21:14
3813,Closed,3347,01-08-2011 21:50,20,01-08-2011 22:45
3814,Closed,826,01-08-2011 21:53,33,01-08-2011 22:07
3816,Closed,1644,01-08-2011 21:54,17,01-08-2011 22:22
3826,Closed,604,01-08-2011 21:59,34,01-08-2011 22:09
3859,Closed,1606,01-08-2011 22:40,45,01-08-2011 23:07
3875,Closed,3904,01-08-2011 23:01,20,02-08-2011 00:06
3895,Closed,1248,01-08-2011 23:26,6,01-08-2011 23:47
3959,Closed,391,02-08-2011 07:10,38,02-08-2011 07:17
3973,Closed,851,02-08-2011 07:44,53,02-08-2011 07:58
3985,Closed,673,02-08-2011 07:52,23,02-08-2011 08:03
4015,Closed,762,02-08-2011 08:13,38,02-08-2011 08:26
4029,Closed,511,02-08-2011 08:20,36,02-08-2011 08:29
4041,Closed,906,02-08-2011 08:37,25,02-08-2011 08:52
4099,Closed,5240,02-08-2011 09:42,50,02-08-2011 11:09
4125,Closed,1642,02-08-2011 10:28,34,02-08-2011 10:55
4143,Closed,1456,02-08-2011 11:01,33,02-08-2011 11:25
4146,Closed,583,02-08-2011 11:11,52,02-08-2011 11:21
4156,Closed,4596,02-08-2011 11:23,47,02-08-2011 12:39
4180,Closed,2398,02-08-2011 12:03,18,02-08-2011 12:43
4205,Closed,1003,02-08-2011 12:20,39,02-08-2011 12:37
4212,Closed,67,02-08-2011 12:29,36,02-08-2011 12:30
4245,Closed,1035,02-08-2011 13:02,36,02-08-2011 13:20
4288,Closed,1035,02-08-2011 13:39,6,02-08-2011 13:56
4290,Closed,1049,02-08-2011 13:39,6,02-08-2011 13:57
4321,Closed,389,02-08-2011 14:08,21,02-08-2011 14:15
4352,Closed,575,02-08-2011 14:49,23,02-08-2011 14:59
4389,Closed,21,02-08-2011 15:31,35,02-08-2011 15:32
4418,Closed,278,02-08-2011 15:53,3,02-08-2011 15:58
4437,Closed,944,02-08-2011 16:17,36,02-08-2011 16:32
4467,Closed,670,02-08-2011 16:54,33,02-08-2011 17:05
4500,Closed,454,02-08-2011 17:18,8,02-08-2011 17:25
4514,Closed,391,02-08-2011 18:28,53,02-08-2011 18:35
4559,Closed,293,02-08-2011 21:02,48,02-08-2011 21:07
4595,Closed,823,02-08-2011 22:38,42,02-08-2011 22:52
4650,Closed,230,03-08-2011 06:20,49,03-08-2011 06:24
4679,Closed,1218,03-08-2011 07:41,38,03-08-2011 08:01
4694,Closed,571,03-08-2011 07:59,12,03-08-2011 08:09
4704,Closed,1093,03-08-2011 08:05,25,03-08-2011 08:23
4714,Closed,362,03-08-2011 08:16,39,03-08-2011 08:22
4730,Closed,1849,03-08-2011 08:33,38,03-08-2011 09:03
4766,Closed,1645,03-08-2011 09:08,39,03-08-2011 09:36
4770,Closed,11793,03-08-2011 09:10,39,03-08-2011 12:27
4806,Closed,4696,03-08-2011 10:14,17,03-08-2011 11:32
4818,Closed,251,03-08-2011 10:44,47,03-08-2011 10:49
4831,Closed,1147,03-08-2011 11:02,21,03-08-2011 11:21
4892,Closed,427,03-08-2011 12:17,36,03-08-2011 12:24
4912,Closed,1584,03-08-2011 12:32,17,03-08-2011 12:58
4947,Closed,2709,03-08-2011 13:10,32,03-08-2011 13:55
5129,Closed,1372,03-08-2011 16:19,14,03-08-2011 16:42
5241,Closed,659,03-08-2011 17:26,14,03-08-2011 17:37
5251,Closed,742,03-08-2011 17:30,22,03-08-2011 17:42
5271,Closed,1102,03-08-2011 17:35,44,03-08-2011 17:53
5277,Closed,5659,03-08-2011 17:40,42,03-08-2011 19:14
5282,Closed,738,03-08-2011 17:41,11,03-08-2011 17:54
5330,Closed,1424,03-08-2011 18:06,15,03-08-2011 18:29
5366,Closed,7,03-08-2011 18:23,36,03-08-2011 18:23
5446,Closed,679,03-08-2011 19:44,10,03-08-2011 19:55
5455,Closed,463,03-08-2011 19:53,52,03-08-2011 20:00
5509,Closed,867,03-08-2011 21:05,24,03-08-2011 21:20
5518,Closed,400,03-08-2011 21:15,42,03-08-2011 21:22
5521,Closed,673,03-08-2011 21:17,45,03-08-2011 21:28
5560,Closed,491,03-08-2011 22:11,35,03-08-2011 22:19
5674,Closed,1409,04-08-2011 07:46,16,04-08-2011 08:10
5685,Closed,680,04-08-2011 07:55,20,04-08-2011 08:06
5686,Closed,11123,04-08-2011 07:56,50,04-08-2011 11:01
5759,Closed,530,04-08-2011 08:58,38,04-08-2011 09:07
5775,Closed,737,04-08-2011 09:22,17,04-08-2011 09:35
5781,Closed,316,04-08-2011 09:34,22,04-08-2011 09:39
5785,Closed,730,04-08-2011 09:46,25,04-08-2011 09:58
5794,Closed,252,04-08-2011 09:56,25,04-08-2011 10:00
5825,Closed,1484,04-08-2011 10:29,46,04-08-2011 10:54
5883,Closed,280,04-08-2011 11:45,21,04-08-2011 11:50
5890,Closed,421,04-08-2011 11:49,48,04-08-2011 11:56
5933,Closed,1012,04-08-2011 12:17,32,04-08-2011 12:34
5942,Closed,6945,04-08-2011 12:25,24,04-08-2011 14:21
5966,Closed,707,04-08-2011 12:42,49,04-08-2011 12:53
6006,Closed,188,04-08-2011 13:11,47,04-08-2011 13:15
6043,Closed,1474,04-08-2011 13:40,46,04-08-2011 14:05
6097,Closed,397,04-08-2011 14:26,22,04-08-2011 14:32
6156,Closed,396,04-08-2011 15:19,20,04-08-2011 15:26
6189,Closed,296,04-08-2011 15:46,16,04-08-2011 15:51
6209,Closed,793,04-08-2011 15:56,22,04-08-2011 16:09
6233,Closed,1035,04-08-2011 16:11,41,04-08-2011 16:28
6280,Closed,740,04-08-2011 16:39,36,04-08-2011 16:51
6339,Closed,448,04-08-2011 17:04,35,04-08-2011 17:11
6362,Closed,484,04-08-2011 17:15,47,04-08-2011 17:23
6377,Closed,1442,04-08-2011 17:22,23,04-08-2011 17:46
6416,Closed,2704,04-08-2011 17:40,15,04-08-2011 18:25
6589,Closed,1641,04-08-2011 19:20,45,04-08-2011 19:47
6597,Closed,1539,04-08-2011 19:26,22,04-08-2011 19:52
6610,Closed,1697,04-08-2011 19:35,5,04-08-2011 20:03
6615,Closed,984,04-08-2011 19:35,42,04-08-2011 19:51
6653,Closed,941,04-08-2011 20:02,25,04-08-2011 20:18
6666,Closed,686,04-08-2011 20:11,43,04-08-2011 20:23
6674,Closed,675,04-08-2011 20:17,50,04-08-2011 20:28
6713,Closed,1272,04-08-2011 20:48,25,04-08-2011 21:09
6722,Closed,1019,04-08-2011 20:50,52,04-08-2011 21:07
6729,Closed,7323,04-08-2011 20:54,45,04-08-2011 22:56
6759,Closed,3178,04-08-2011 21:37,24,04-08-2011 22:30
6794,Closed,612,04-08-2011 22:31,23,04-08-2011 22:41
6847,Closed,391,04-08-2011 23:32,33,04-08-2011 23:38
6866,Closed,333,04-08-2011 23:59,9,05-08-2011 00:05
6910,Closed,738,05-08-2011 01:45,32,05-08-2011 01:57
6921,Closed,708,05-08-2011 02:15,45,05-08-2011 02:27
6956,Closed,263,05-08-2011 06:19,16,05-08-2011 06:24
6969,Closed,528,05-08-2011 07:07,38,05-08-2011 07:16
7050,Closed,836,05-08-2011 08:18,47,05-08-2011 08:32
7071,Closed,1237,05-08-2011 08:34,23,05-08-2011 08:55
7084,Closed,1112,05-08-2011 08:38,38,05-08-2011 08:57
7099,Closed,311,05-08-2011 08:48,22,05-08-2011 08:54
7116,Closed,427,05-08-2011 08:56,50,05-08-2011 09:03
7180,Closed,362,05-08-2011 09:47,5,05-08-2011 09:53
7191,Closed,542,05-08-2011 09:55,41,05-08-2011 10:04
7200,Closed,299,05-08-2011 10:09,21,05-08-2011 10:14
7298,Closed,5830,05-08-2011 11:06,16,05-08-2011 12:43
7345,Closed,218,05-08-2011 11:37,21,05-08-2011 11:41
7358,Closed,1287,05-08-2011 11:44,43,05-08-2011 12:06
7370,Closed,774,05-08-2011 11:47,36,05-08-2011 12:00
7387,Closed,762,05-08-2011 11:54,50,05-08-2011 12:07
7431,Closed,2119,05-08-2011 12:11,23,05-08-2011 12:46
7433,Closed,9266,05-08-2011 12:13,38,05-08-2011 14:48
7446,Closed,1218,05-08-2011 12:21,42,05-08-2011 12:41
7457,Closed,532,05-08-2011 12:23,3,05-08-2011 12:32
7516,Closed,655,05-08-2011 13:01,36,05-08-2011 13:12
7528,Closed,8079,05-08-2011 13:06,42,05-08-2011 15:21
